species,found,URL,count
Neomyrina hiemalis,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neomyrina+hiemalis%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Papilio areolatus,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Papilio+areolatus%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Neonympha areolatus,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neonympha+areolatus%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Neonympha areolata,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neonympha+areolata%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Neonympha helicta,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neonympha+helicta%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Neonympha dadeensis,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neonympha+dadeensis%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Neonympha septentrionalis,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neonympha+septentrionalis%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Oreas helicta,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Oreas+helicta%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Neonympha mitchellii,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neonympha+mitchellii%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Neonympha francisci,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Neonympha+francisci%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
